個人ID,年収（万円）,LN年収,女性ダミー,"中学3年生の時
の学年成績",教育年数,"大卒以上ダミー
（基準は高卒以下）","短期高等教育卒ダミー
（基準は高卒以下）",勤続年数,勤続年数の2乗,大企業ダミー,"正規雇用ダミー
（基準は非正規雇用）","ホワイトカラー・ダミー
（専門職、技術職、事務職。
基準はブルーカラー）","管理職ダミー
（基準は非管理職）","転職ダミー
（基準は転職経験なし）"
170,31.25,3.44,1,4,12,0,0,2.1,4.41,0,0,0,0,0
171,75,4.32,1,2,12,0,0,2.1,4.41,0,0,1,0,0
172,31.25,3.44,1,1,12,0,0,2.1,4.41,0,0,0,0,1
173,31.25,3.44,1,4,12,0,0,2.1,4.41,0,0,1,0,1
174,75,4.32,1,5,12,0,0,2.1,4.41,0,0,1,0,0
175,75,4.32,1,4,12,0,0,2.1,4.41,0,0,0,0,0
176,31.25,3.44,1,3,12,0,0,2.1,4.41,0,0,0,0,1
177,75,4.32,1,5,12,0,0,2.1,4.41,0,0,0,0,0
178,150,5.01,0,4,12,0,0,3,9,0,0,0,0,0
179,75,4.32,0,5,12,0,0,3,9,0,0,1,0,0
180,100,4.61,0,4,12,0,0,3,9,0,0,0,0,1
181,100,4.61,1,3,12,0,0,2.1,4.41,0,0,0,0,0
182,150,5.01,1,3,12,0,0,2.1,4.41,0,0,1,0,1
183,200,5.30,1,2,12,0,0,2.1,4.41,0,0,1,0,0
184,100,4.61,1,3,12,0,0,2.1,4.41,0,0,0,0,0
185,100,4.61,1,4,12,0,0,2.1,4.41,0,0,0,0,0
186,100,4.61,1,2,12,0,0,2.1,4.41,0,0,1,0,0
187,200,5.30,1,1,12,0,0,2.1,4.41,0,0,0,0,0
188,200,5.30,0,2,12,0,0,3,9,0,0,0,0,1
189,150,5.01,1,2,12,0,0,2.1,4.41,0,0,0,0,0
190,150,5.01,1,2,12,0,0,2.1,4.41,0,0,0,0,0
191,56.25,4.03,1,3,12,0,0,2.1,4.41,0,0,0,0,1
192,106.25,4.67,1,1,12,0,0,2.1,4.41,0,0,1,0,1
193,106.25,4.67,1,3,12,0,0,2.1,4.41,0,0,1,0,0
194,150,5.01,1,4,12,0,0,2.1,4.41,0,0,1,0,1
195,125,4.83,0,2,12,0,0,3,9,0,0,0,0,0
196,106.25,4.67,1,3,12,0,0,2.1,4.41,0,0,1,0,1
197,150,5.01,1,5,12,0,0,2.1,4.41,0,0,0,0,0
198,106.25,4.67,1,2,12,0,0,2.1,4.41,0,0,1,0,0
199,150,5.01,1,3,12,0,0,2.1,4.41,0,0,1,0,0
200,150,5.01,1,2,12,0,0,2.1,4.41,0,0,1,0,1
201,106.25,4.67,1,2,12,0,0,2.1,4.41,0,0,0,0,0
202,150,5.01,1,1,12,0,0,2.1,4.41,0,0,0,0,1
203,200,5.30,0,5,12,0,0,3,9,0,0,1,0,0
204,175,5.16,1,5,12,0,0,2.1,4.41,0,0,1,0,0
205,156.25,5.05,0,4,12,0,0,3,9,0,0,1,0,0
206,50,3.91,1,2,12,0,0,2.8,7.84,0,0,0,0,1
207,50,3.91,1,1,12,0,0,2.8,7.84,0,0,0,0,1
208,50,3.91,1,1,12,0,0,2.8,7.84,0,0,1,0,1
209,150,5.01,1,3,12,0,0,2.8,7.84,0,0,1,0,0
210,50,3.91,1,1,12,0,0,2.8,7.84,0,0,0,0,0
211,150,5.01,0,5,12,0,0,4,16,0,0,0,0,0
212,56.25,4.03,1,4,12,0,0,2.8,7.84,0,0,0,0,1
213,150,5.01,1,1,12,0,0,2.8,7.84,0,0,1,0,0
214,200,5.30,0,1,12,0,0,4,16,0,0,1,0,0
215,100,4.61,1,1,12,0,0,2.8,7.84,0,0,0,0,1
216,50,3.91,0,2,12,0,0,4,16,0,0,0,0,0
217,200,5.30,1,4,12,0,0,2.8,7.84,0,0,1,0,0
218,100,4.61,0,1,12,0,0,4,16,0,0,0,0,1
219,50,3.91,1,3,12,0,0,2.8,7.84,0,0,0,0,1
220,150,5.01,1,3,12,0,0,2.8,7.84,0,0,1,0,1
221,100,4.61,1,3,12,0,0,2.8,7.84,0,0,1,0,0
222,200,5.30,1,3,12,0,0,2.8,7.84,0,0,1,0,0
223,150,5.01,1,5,12,0,0,2.8,7.84,0,0,1,0,0
224,100,4.61,1,4,12,0,0,2.8,7.84,0,0,0,0,1
225,200,5.30,0,1,12,0,0,4,16,0,0,0,0,1
226,150,5.01,0,3,12,0,0,4,16,0,0,1,0,0
227,200,5.30,0,4,12,0,0,4,16,0,0,1,0,0
228,200,5.30,1,2,12,0,0,2.8,7.84,0,0,1,0,0
229,150,5.01,1,2,12,0,0,2.8,7.84,0,0,0,0,0
230,150,5.01,1,2,12,0,0,2.8,7.84,0,0,0,0,1
231,100,4.61,1,1,12,0,0,2.8,7.84,0,0,1,0,0
232,100,4.61,1,2,12,0,0,2.8,7.84,0,0,1,0,0
233,150,5.01,1,5,12,0,0,2.8,7.84,0,0,1,0,0
234,100,4.61,1,1,12,0,0,2.8,7.84,0,0,1,0,1
235,200,5.30,0,5,12,0,0,4,16,0,0,1,0,0
236,200,5.30,0,2,12,0,0,4,16,0,0,0,0,0
237,200,5.30,1,3,12,0,0,2.8,7.84,0,0,1,0,0
238,250,5.52,1,1,12,0,0,2.8,7.84,0,0,0,0,0
239,200,5.30,1,3,12,0,0,2.8,7.84,0,0,1,0,0
240,200,5.30,1,1,12,0,0,2.8,7.84,0,0,0,0,0
241,200,5.30,0,4,12,0,0,4,16,0,0,1,0,1
242,250,5.52,0,4,12,0,0,4,16,0,0,0,0,1
243,200,5.30,1,2,12,0,0,2.8,7.84,0,0,1,0,0
244,200,5.30,1,3,12,0,0,2.8,7.84,0,0,0,0,0
245,300,5.70,1,3,12,0,0,2.8,7.84,0,1,1,0,0
246,300,5.70,1,4,12,0,0,2.8,7.84,0,1,1,0,0
247,300,5.70,1,3,12,0,0,2.8,7.84,0,1,1,0,0
248,150,5.01,0,1,12,0,0,5,25,0,0,1,0,1
249,150,5.01,1,3,12,0,0,3.5,12.25,0,0,0,0,1
250,50,3.91,1,3,12,0,0,3.5,12.25,0,0,1,0,1
251,6.25,1.83,1,5,12,0,0,3.5,12.25,0,0,1,0,1
252,12.5,2.53,1,2,12,0,0,3.5,12.25,0,0,0,0,1
253,175,5.16,1,4,12,0,0,3.5,12.25,0,0,0,0,1
254,200,5.30,0,3,12,0,0,5,25,0,0,0,0,0
255,200,5.30,1,3,12,0,0,3.5,12.25,0,0,0,0,0
256,200,5.30,1,2,12,0,0,3.5,12.25,0,0,1,0,0
257,50,3.91,1,3,12,0,0,3.5,12.25,0,0,0,0,1
258,100,4.61,1,5,12,0,0,3.5,12.25,0,0,1,0,0
259,150,5.01,0,5,12,0,0,5,25,0,0,0,0,0
260,100,4.61,1,1,12,0,0,3.5,12.25,0,0,0,0,0
261,200,5.30,1,4,12,0,0,3.5,12.25,0,0,1,0,0
262,100,4.61,1,1,12,0,0,3.5,12.25,0,0,1,0,1
263,200,5.30,1,2,12,0,0,3.5,12.25,0,0,0,0,0
264,100,4.61,0,5,12,0,0,5,25,0,0,1,0,0
265,125,4.83,1,1,12,0,0,3.5,12.25,0,0,1,0,0
266,150,5.01,0,1,12,0,0,5,25,0,0,1,0,0
267,150,5.01,1,1,12,0,0,3.5,12.25,0,0,1,0,0
268,106.25,4.67,1,4,12,0,0,3.5,12.25,0,0,1,0,0
269,150,5.01,1,5,12,0,0,3.5,12.25,0,0,1,0,0
270,200,5.30,0,1,12,0,0,5,25,0,0,1,0,0
271,250,5.52,0,5,12,0,0,5,25,0,0,1,0,0
272,150,5.01,1,5,12,0,0,3.5,12.25,0,0,0,0,0
273,200,5.30,0,2,12,0,0,5,25,0,0,0,0,0
274,300,5.70,1,5,12,0,0,3.5,12.25,0,1,1,0,0
275,250,5.52,1,2,12,0,0,3.5,12.25,0,0,0,0,0
276,200,5.30,1,4,12,0,0,3.5,12.25,0,0,1,0,1
277,250,5.52,0,1,12,0,0,5,25,0,0,0,0,0
278,175,5.16,1,1,12,0,0,3.5,12.25,0,0,0,0,0
279,250,5.52,0,4,12,0,0,5,25,0,0,1,0,0
280,400,5.99,0,5,12,0,0,5,25,0,1,0,0,0
281,6.25,1.83,1,4,12,0,0,4.2,17.64,0,0,1,0,1
282,150,5.01,0,5,12,0,0,6,36,0,0,0,0,0
283,50,3.91,1,1,12,0,0,4.2,17.64,0,0,0,0,1
284,100,4.61,1,5,12,0,0,4.2,17.64,0,0,1,0,0
285,100,4.61,0,1,12,0,0,6,36,0,0,1,0,0
286,12.5,2.53,1,2,12,0,0,4.2,17.64,0,0,0,0,1
287,156.25,5.05,1,1,12,0,0,4.2,17.64,0,0,0,0,0
288,6.25,1.83,1,2,12,0,0,4.2,17.64,0,0,1,0,1
289,12.5,2.53,1,1,12,0,0,4.2,17.64,0,0,0,0,1
290,31.25,3.44,1,5,12,0,0,4.2,17.64,0,0,0,0,1
291,125,4.83,1,3,12,0,0,4.2,17.64,0,0,0,0,1
292,150,5.01,1,1,12,0,0,4.2,17.64,0,0,0,0,0
293,300,5.70,0,4,12,0,0,6,36,0,0,0,0,0
294,100,4.61,1,3,12,0,0,4.2,17.64,0,0,0,0,1
295,150,5.01,1,3,12,0,0,4.2,17.64,0,0,1,0,0
296,56.25,4.03,0,3,12,0,0,6,36,0,0,0,0,1
297,250,5.52,0,4,12,0,0,6,36,0,0,1,0,0
298,100,4.61,0,4,12,0,0,6,36,0,0,1,0,0
299,150,5.01,1,3,12,0,0,4.2,17.64,0,0,0,0,0
300,200,5.30,1,1,12,0,0,4.2,17.64,0,0,1,0,0
301,56.25,4.03,1,2,12,0,0,4.2,17.64,0,0,1,0,1
302,150,5.01,1,3,12,0,0,4.2,17.64,0,0,0,0,1
303,200,5.30,1,3,12,0,0,4.2,17.64,0,0,1,0,0
304,250,5.52,1,5,12,0,0,4.2,17.64,0,0,1,0,0
305,150,5.01,1,1,12,0,0,4.2,17.64,0,0,0,0,0
306,250,5.52,0,2,12,0,0,6,36,0,0,1,0,1
307,125,4.83,1,2,12,0,0,4.2,17.64,0,0,0,0,0
308,200,5.30,0,4,12,0,0,6,36,0,0,0,0,0
309,250,5.52,0,2,12,0,0,6,36,0,0,0,0,0
310,250,5.52,0,5,12,0,0,6,36,0,0,1,0,0
311,200,5.30,1,3,12,0,0,4.2,17.64,0,0,1,0,1
312,125,4.83,0,3,12,0,0,6,36,0,0,1,0,0
313,106.25,4.67,1,1,12,0,0,4.2,17.64,0,0,0,0,0
314,250,5.52,1,2,12,0,0,4.2,17.64,0,0,0,0,0
315,200,5.30,0,3,12,0,0,6,36,0,0,0,0,0
316,100,4.61,1,5,12,0,0,4.2,17.64,0,0,1,0,0
317,250,5.52,1,2,12,0,0,4.2,17.64,0,0,1,0,0
318,300,5.70,0,3,12,0,0,6,36,0,0,1,0,0
319,250,5.52,0,5,12,0,0,6,36,0,0,1,0,1
320,300,5.70,0,1,12,0,0,6,36,0,0,0,0,0
321,200,5.30,1,3,12,0,0,4.2,17.64,0,0,1,0,0
322,200,5.30,1,2,12,0,0,4.2,17.64,0,0,0,0,0
323,150,5.01,1,3,12,0,0,4.2,17.64,0,0,1,0,0
324,200,5.30,1,5,12,0,0,4.2,17.64,0,0,1,0,0
325,300,5.70,0,1,12,0,0,6,36,0,0,0,0,0
326,200,5.30,1,1,12,0,0,4.2,17.64,0,0,0,0,0
327,200,5.30,0,2,12,0,0,6,36,0,0,0,0,0
328,350,5.86,0,5,12,0,0,6,36,0,1,1,0,0
329,500,6.21,0,1,12,0,0,6,36,1,1,1,0,0
330,50,3.91,1,5,12,0,0,4.9,24.01,0,0,0,0,1
331,56.25,4.03,0,3,12,0,0,7,49,0,0,1,0,1
332,156.25,5.05,1,5,12,0,0,4.9,24.01,0,0,1,0,0
333,56.25,4.03,1,3,12,0,0,4.9,24.01,0,0,1,0,1
334,106.25,4.67,0,5,12,0,0,7,49,0,0,1,0,1
335,12.5,2.53,1,1,12,0,0,4.9,24.01,0,0,0,0,1
336,125,4.83,1,4,12,0,0,4.9,24.01,0,0,0,0,1
337,75,4.32,1,4,12,0,0,4.9,24.01,0,0,0,0,0
338,50,3.91,0,2,12,0,0,7,49,0,0,0,0,1
339,100,4.61,0,1,12,0,0,7,49,0,0,1,0,1
340,56.25,4.03,1,5,12,0,0,4.9,24.01,0,0,0,0,0
341,200,5.30,1,5,12,0,0,4.9,24.01,0,0,1,0,0
342,250,5.52,1,2,12,0,0,4.9,24.01,0,0,0,0,0
343,200,5.30,1,1,12,0,0,4.9,24.01,0,0,1,0,0
344,200,5.30,1,2,12,0,0,4.9,24.01,0,0,0,0,0
345,200,5.30,1,3,12,0,0,4.9,24.01,0,0,1,0,0
346,250,5.52,0,1,12,0,0,7,49,0,0,0,0,0
347,250,5.52,1,2,12,0,0,4.9,24.01,0,0,1,0,0
348,106.25,4.67,1,3,12,0,0,4.9,24.01,0,0,1,0,1
349,250,5.52,1,2,12,0,0,4.9,24.01,0,0,0,0,0
350,106.25,4.67,1,1,12,0,0,4.9,24.01,0,0,1,0,0
351,250,5.52,1,3,12,0,0,4.9,24.01,0,0,1,0,0
352,200,5.30,0,2,12,0,0,7,49,0,0,1,0,1
353,106.25,4.67,1,2,12,0,0,4.9,24.01,0,0,1,0,0
354,200,5.30,1,4,12,0,0,4.9,24.01,0,0,1,0,0
355,100,4.61,1,4,12,0,0,4.9,24.01,0,0,1,0,1
356,125,4.83,1,4,12,0,0,4.9,24.01,0,0,0,0,0
357,156.25,5.05,1,2,12,0,0,4.9,24.01,0,0,0,0,0
358,250,5.52,0,2,12,0,0,7,49,0,0,1,0,1
359,250,5.52,1,3,12,0,0,4.9,24.01,0,0,0,0,0
360,300,5.70,1,1,12,0,0,4.9,24.01,0,1,1,0,0
361,200,5.30,0,5,12,0,0,7,49,0,0,1,0,0
362,300,5.70,0,5,12,0,0,7,49,0,0,1,0,0
363,300,5.70,1,4,12,0,0,4.9,24.01,0,1,0,0,1
364,200,5.30,1,5,12,0,0,4.9,24.01,0,0,0,0,0
365,300,5.70,1,2,12,0,0,4.9,24.01,0,1,0,0,1
366,250,5.52,0,5,12,0,0,7,49,0,0,1,0,0
367,250,5.52,0,2,12,0,0,7,49,0,0,1,0,0
368,100,4.61,1,5,12,0,0,5.6,31.36,0,0,1,0,1
369,150,5.01,1,4,12,0,0,5.6,31.36,0,0,1,0,0
370,750,6.62,0,4,12,0,0,8,64,1,1,1,1,0
371,100,4.61,1,1,12,0,0,5.6,31.36,0,0,0,0,0
372,200,5.30,0,1,12,0,0,8,64,0,0,1,0,0
373,50,3.91,1,2,12,0,0,5.6,31.36,0,0,0,0,0
374,106.25,4.67,1,3,12,0,0,5.6,31.36,0,0,0,0,0
375,206.25,5.33,1,5,12,0,0,5.6,31.36,0,0,1,0,0
376,12.5,2.53,1,5,12,0,0,5.6,31.36,0,0,1,0,1
377,225,5.42,1,5,12,0,0,5.6,31.36,0,0,0,0,1
378,225,5.42,1,3,12,0,0,5.6,31.36,0,0,1,0,0
379,150,5.01,1,5,12,0,0,5.6,31.36,0,0,1,0,1
380,200,5.30,1,2,12,0,0,5.6,31.36,0,0,0,0,0
381,200,5.30,1,1,12,0,0,5.6,31.36,0,0,1,0,0
382,250,5.52,1,4,12,0,0,5.6,31.36,0,0,1,0,1
383,250,5.52,0,1,12,0,0,8,64,0,0,1,0,0
384,100,4.61,1,5,12,0,0,5.6,31.36,0,0,1,0,1
385,200,5.30,0,1,12,0,0,8,64,0,0,0,0,0
386,150,5.01,1,5,12,0,0,5.6,31.36,0,0,1,0,0
387,150,5.01,0,2,12,0,0,8,64,0,0,1,0,0
388,200,5.30,0,1,12,0,0,8,64,0,0,0,0,0
389,175,5.16,1,1,12,0,0,5.6,31.36,0,0,0,0,1
